Account Holder|Account ID|Transaction Type|Transaction Amount
John Smith|RBSI-12523421-UK|DEPOSIT|$4624.38
John Smith|RBSI-12523421-UK|DEPOSIT|$5469.56
John Smith|RBSI-12523421-UK|DEPOSIT|$5460.75
John Smith|RBSI-12523421-UK|DEPOSIT|$2474.51
John Smith|RBSI-12523421-UK|DEPOSIT|$1774.49
John Smith|RBSI-12523421-UK|DEPOSIT|$9643.83
John Smith|RBSI-12523421-UK|DEPOSIT|$4703.31
John Smith|RBSI-12523421-UK|DEPOSIT|$6772.29
John Smith|RBSI-12523421-UK|DEPOSIT|$2293.45
John Smith|RBSI-12523421-UK|DEPOSIT|$1230.36
John Smith|RBSI-12523421-UK|DEPOSIT|$1807.41
John Smith|RBSI-12523421-UK|DEPOSIT|$6922.86
John Smith|RBSI-12523421-UK|DEPOSIT|$4210.96
John Smith|RBSI-12523421-UK|DEPOSIT|$8919.37
John Smith|RBSI-12523421-UK|DEPOSIT|$9644.26
John Smith|RBSI-12523421-UK|DEPOSIT|$5009.51
John Smith|RBSI-12523421-UK|DEPOSIT|$6483.71
John Smith|RBSI-12523421-UK|DEPOSIT|$9974.14
